id,title,author,link,technique,dimensions,date
ILLU_11463_108_0,A Centennial of Independence,Henri Rousseau,https://www.getty.edu/art/collection/objects/816/henri-rousseau-a-centennial-of-independence-french-1892/,Oil on canvas , 111.8 x 158.1cm , 1892
ILLU_11463_113_0,The Merry Jesters,Henri Rousseau,https://commons.wikimedia.org/wiki/File:Henri_Rousseau_-_The_Merry_Jesters.jpg,Oil on canvas , 145.7 x 113.3cm , 1906
ILLU_11478_131_0,Chestnut Tree and Farm,Paul Cézanne,,Oil on canvas , 65.5 x 81.3cm , 1885
ILLU_11480_311_0,Lise on the Bank of the Seine,Auguste Renoir,,Oil , 184 x 115cm , 1870
ILLU_11487_73_0,Portrait Of A Girl,Albrecht Dürer,,Charcoal on paper ,, 1515
ILLU_11491_211_0,A Young Girl with a Black Overall,Amedeo Modigliani,,Oil on canvas , 92.5 x 60.5cm , 1918
ILLU_11502_292_0,Tropical Forest with Monkeys,Henri Rousseau,https://www.nga.gov/collection/art-object-page.61253.html,Oil on canvas , 129.5 x 162.5cm , 1910
ILLU_11507_467_0,Woman with Red Hair,Amedeo Modigliani,https://www.nga.gov/collection/art-object-page.46651.html,Oil on canvas , 92.1 x 60.7cm , 1917
ILLU_11518_32_0,portrait de Stéphane Mallarmé,Édouard Manet,https://fr.wikipedia.org/wiki/Portrait_de_St%C3%A9phane_Mallarm%C3%A9_(Manet),Huile sur toile , 270 x 360mm , 1876
ILLU_11529_229_0,Portrait de l'artist,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Portrait_de_l%27artiste%2C_par_Paul_C%C3%A9zanne%2C_FWN_434.jpg?uselang=fr,Huile sur toile , 64 x 53cm , 1875
ILLU_11532_331_3,The Crucifixion,Carlo Crivelli,,Tempera on panel , 75 x 55.2cm , c. 1487
ILLU_11543_181_0,Portrait de M. et Mme Auguste Manet,Édouard Manet,https://fr.wikipedia.org/wiki/Portrait_de_M._et_Mme_Auguste_Manet,Huile sur toile , 111.5 x 93cm , 1860
ILLU_11543_182_0,Young Man in the Costume of a Majo,Edouard Manet,https://www.metmuseum.org/art/collection/search/438819,Oil on canvas , 188 x 124.8cm , 1863
ILLU_11543_184_0,The grand canal of Venice (Blue Venice),Édouard Manet,,Oil on canvas , 54 x 65cm , 1875
ILLU_11558_101_0,La Carriole du père Junier,Henri Rousseau,https://commons.wikimedia.org/wiki/File:Henri-Julien_F%C3%A9lix_Rousseau_-_La_Carriole_du_P%C3%A8re_Junier.jpg?uselang=fr,,970 x 1290mm , 1908
ILLU_11568_290_0,Woman in a Hat,Henri Matisse,,Oil on canvas , 58.9 x 49.9cm , 1920
ILLU_11569_295_0,St. Magdalene in the Desert,Honoré Daumier,,Oil on canvas , 41 x 33cm , 1852
ILLU_11572_364_1,L'Annonciation,Rogier van der Weyden (atelier),https://donate.louvre.fr/particuliers/~mon-don,,0.86 x 0.93m,
ILLU_11746_4014_2,The Spreading Pine Tree in the Brühl Valley near Mödling,Ludwig Ferdinand Schnorr von Carolsfeld,https://sammlung.belvedere.at/objects/1964/die-breite-fohre-nachst-der-bruhl-bei-modling,Oil on canvas , 66 x 112cm , 1838
ILLU_11883_55_0,Mrs. Davies Davenport,George Romney,https://www.nga.gov/collection/art-object-page.112.html,Oil on canvas , 76.5 x 64cm , 1782-1784
ILLU_11896_95_0,Venus and the Lute Player,Titian and Workshop,https://www.metmuseum.org/art/collection/search/437827,Oil on canvas , 165.1 x 209.6cm , c. 1565-70
ILLU_12182_209_2,Les joueurs de Rugby,André Lhote,,,,
ILLU_12198_3902_0,The Bridge at Saint Cloud,Alfred Sisley,,Oil on canvas ,, 1877
ILLU_12203_515209_0,The Temptation of Christ on the Mountain,Duccio,https://commons.wikimedia.org/wiki/File:Duccio_-_The_Temptation_on_the_Mount.jpg,Tempera on wood , 43 x 46cm , c. 1308
ILLU_12208_3603_0,The boy with cherries,Édouard Manet,https://commons.wikimedia.org/wiki/File:Boy_with_Cherries_Edouard_Manet.jpg,Oil on canvas ,, 1858
ILLU_12215_242503_0,Woman with a shirt sitting in a chair,Pablo Picasso,,,,1913
ILLU_12215_242503_2,Jeune Fille devant un miroir,Pablo Picasso,,Oil on canvas , 162.3 x 130.2cm , 1932
ILLU_12216_242502_0,Musicians with masks,Pablo Picasso,,Oil on canvas , 203.2 x 188cm , 1921
ILLU_12219_2802_0,Portrait of Hendrickje Stoffels in silk wrap,Rembrandt,https://commons.wikimedia.org/wiki/File:Rembrandt_-_Portrait_of_Hendrickje_Stoffels_-_Hendrickje_Stoffels_-_1659.jpg,Oil on panel , 72.5 x 51.5cm , 1659
ILLU_12226_3803_0,Armor Chamber Fantasy,Adolph Menzel,"https://commons.wikimedia.org/wiki/File:Adolf_Menzel_-_%22Armor_Chamber_Fantasy%22,_1866_-_Google_Art_Project.jpg",,,1866
ILLU_12331_99_1,Riders on the beach,Paul Gauguin,,Oil on canvas , 66 x 76cm , 1902
ILLU_12431_76_0,Portrait of Paulo as Pierrot,Pablo Picasso,,,,1929
ILLU_12431_78_0,Woman with mandolin,Pablo Picasso,,Oil on canvas , 130 x 97cm , 1925
ILLU_12443_356_0,The Rooster,Marc Chagall,,Oil on canvas , 81 x 65cm , 1929
ILLU_12443_359_0,Lovers under lilies,Marc Chagall,,Oil on canvas , 101.6 x 76.2cm , 1925
ILLU_12656_467_1,The Bellelli Family,Edgar Degas,https://en.wikipedia.org/wiki/The_Bellelli_Family,Oil on canvas , 2000 x 2500mm , 1858-1869
ILLU_12656_467_2,L'Atelier de la rue de la Condamine,Édouard Manet,https://fr.wikipedia.org/wiki/L'Atelier_de_Bazille,Huile sur toile , 980 x 1280mm , 1870
ILLU_12659_48_3,"Still life with skull, candle and book",Paul Cézanne,,Oil on canvas ,, 1866
ILLU_12659_51_0,Vase with Irises,Vincent van Gogh,,Oil on canvas , 92.1 x 73.7cm , 1890
ILLU_12659_54_0,Cypresses,Vincent van Gogh,https://www.metmuseum.org/art/collection/search/437980,Oil on canvas , 93.4 x 74cm , 1889
ILLU_12668_32_0,Portrait de l'artiste au fond rose,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Autoportrait_%28Paul_C%C3%A9zanne%29_Mus%C3%A9e_dOrsay_%283344594921%29.jpg,Oil on canvas ,, c. 1875
ILLU_12753_5002_2,Morning,Caspar David Friedrich,https://commons.wikimedia.org/wiki/File:CDFriedrich-Am_Morgen_ausfahrende_Boote.jpg,Oil on canvas , 22 x 30.5cm , c. 1816
ILLU_13074_291_0,"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",Vincent van Gogh,https://www.metmuseum.org/art/collection/search/436529,Oil on canvas , 91.4 x 73.7cm , 1888-89
ILLU_13084_314_0,Bathing Place,Paul Gauguin,,Oil on canvas , 60 x 73cm , 1886
ILLU_13298_74_0,Domino Players,Henri Matisse,,,,1921
ILLU_13315_384_0,Young Smoking a Pipe,Eugène Zak,,,,1925
ILLU_13332_335_0,The Falconer (copy after Thomas Couture),Edward Harrison May,https://commons.wikimedia.org/wiki/File:Edward_Harrison_May_-_The_Falconer_%28copy_after_Thomas_Couture%29_-_24.220_-_Museum_of_Fine_Arts.jpg?uselang=fr,Huile sur toile , 130.8 x 98.4cm,
ILLU_13395_79_0,The Sorcerer of Hiva Oa (Marquesan Man in the Red Cape),Paul Gauguin,,Oil on canvas ,, 1902
ILLU_14257_293_1,The Kiss,Max Ernst,,Oil on canvas , 129 x 161.2cm , 1927
ILLU_14268_20_0,The Promenade,Pierre-Auguste Renoir,https://www.getty.edu/art/collection/objects/823/pierre-auguste-renoir-the-promenade-french-1870/,Oil on canvas , 81.3 x 64.8cm , 1870
ILLU_14275_400_0,Still Life: The Table,Georges Braque,https://www.nga.gov/collection/art-object-page.46567.html,Oil on canvas , 81.3 x 130.8cm , 1928
ILLU_14317_183_0,The sculpture,Pablo Picasso,,,,1925
ILLU_14319_404_0,Pleiades,Max Ernst,,Collage on paper , 25 x 18cm , 1920
ILLU_14351_140_2,Odalisque,Henri Matisse,,,,1918
ILLU_14369_168_0,The Seated Zouave,Vincent van Gogh,"https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Der_Zuave,_sitzend.jpeg",Oil on canvas , 81 x 65cm , 1888
ILLU_14374_65_8,The Blue House,Marc Chagall,,Oil on canvas , 66 x 96.8cm , 1917
ILLU_14377_351_3,Woman with Umbrella,Georges Seurat,,Oil on canvas ,, 1884
ILLU_14405_32_0,Gelmeroda IX,Lyonel Feininger,,,,1926
ILLU_14458_224_0,l'Enseigne de Gersaint,Jean-Antoine Watteau,https://en.wikipedia.org/wiki/L'Enseigne_de_Gersaint,Painting ,, 1720
ILLU_14552_225_0,The Promenader,Henry Wolf,https://americanart.si.edu/artwork/promenader-40851,Photomechanical wood engraving on paper , 12.8 x 18.9cm , 1890
ILLU_14943_417_3,Adoration of the shepherds,Hugo van der Goes,https://commons.wikimedia.org/wiki/File:Hugo_van_der_Goes_-_The_Adoration_of_the_Shepherds_-_Google_Art_Project.jpg,Oil on oak wood , 97 x 245cm , c. 1480
ILLU_14967_143_0,Portrait of sara andriesdr hessix,Frans Hals,https://commons.wikimedia.org/wiki/File:Portrait_of_Sara_Andriesdr_Hessix_by_Frans_Hals.jpg,Oil painting , 87 x 70cm , 1626
ILLU_14977_295_0,Still life with commode,Paul Cézanne,,,,1883-1887
ILLU_14977_297_0,"View of Arles, Flowering Orchards",Vincent van Gogh,"https://en.wikipedia.org/wiki/View_of_Arles,_Flowering_Orchards",Oil on canvas , 72 x 92cm , 1889
ILLU_14978_333_2,Young Girl Reading,Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Pierre-Auguste_Renoir_-_Jeune_Fille_lisant.jpg,Oil on canvas , 55.5 x 46.5cm , 1886
ILLU_15031_10_1,Peasant Interior with an Old Flute Player,Le Nain,,Oil on canvas , 54.1 x 62.1cm , c. 1642
ILLU_15035_13_0,Portrait de Théodore Duret,Edouard Manet,https://parismuseescollections.paris.fr/node/226850,"Peinture à l'huile, Toile (matériau) ", 46.5 x 35.5cm , 1868
ILLU_15039_12_2,Herman Langelius,Frans Hals,,,76 x 63.5cm , 1660
ILLU_15190_170_1,Portrait of Margareta van Eyck,Jan van Eyck,https://en.wikipedia.org/wiki/Portrait_of_Margaret_van_Eyck,Oil on panel , 32.6 x 25.8cm , 1439
ILLU_15299_195_0,The chandelier females,Albrecht Dürer,,,,1513
ILLU_15316_482_1,The Rich Man The Queen,Hans Holbein le Jeune,,Woodcut on paper , 64 x 96cm , 1525
ILLU_15405_339_0,St. Jerome in His Study,Albrecht Dürer,"https://en.wikipedia.org/wiki/St._Jerome_in_His_Study_(D%C3%BCrer,_1521)",Eichenholz , 59.5 x 48.5cm , 1521
ILLU_15678_27_1,Portrait of a Bearded Man in a Red Hat,Albrecht Dürer,,Oil on canvas ,, 1520
ILLU_15678_30_0,Adoration of the Trinity,Albrecht Dürer,https://en.wikipedia.org/wiki/Adoration_of_the_Trinity,Oil on poplar wood , 1350 x 1234mm , 1511
ILLU_15678_31_1,Judith with the head of Holofernes,Lucas Cranach l'Ancien,,Oil on wood , 87 x 56cm , 1530
ILLU_15691_128_0,Study for the Family Portrait of Thomas More,Hans Holbein le Jeune,,,38.9 x 52.4cm , 1527
ILLU_15996_320_0,Rocky Bay with Figures,Joseph Mallord William Turner,https://www.tate.org.uk/art/artworks/turner-rocky-bay-with-figures-n01989,Oil paint on canvas , 902 x 1232mm , c.1827–30
ILLU_16304_354_3,Diver&nbsp;on a yellow background,Fernand Léger,,,,
ILLU_10332_134_0,Don Quixote and the Dead Mule,Honoré Daumier,https://www.metmuseum.org/art/collection/search/436092,Oil on wood , 24.8 x 46cm , After 1864
ILLU_10332_135_0,The Races in the Bois de Boulogne,Édouard Manet,,Oil on canvas , 73 x 92cm , 1872
ILLU_10332_138_0,"Argenteuil, Seen from the Small Arm of the Seine",Claude Monet,,,,1872
ILLU_10332_146_0,"Madame Georges Charpentier (Marguérite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Émile-Charles (1875–1895)",Auguste Renoir,https://www.metmuseum.org/art/collection/search/438815,Oil on canvas , 153.7 x 190.2cm , 1878
ILLU_10332_95_0,The Tragic Actor (Rouvière as Hamlet),Edouard Manet,https://www.nga.gov/collection/art-object-page.45878.html,Oil on canvas , 187.2 x 108.1cm , 1866
ILLU_10347_334_0,Café Singer,Hilaire Germain Edgar Degas,,Oil on canvas , 16 x 16in , 1879
ILLU_10364_264_0,Self-portrait of the painter and his wife in the studio,Franz von Stuck,,Oil on canvas , 159.5 x 179.5cm , 1902
ILLU_10397_153_0,The Seine at Argenteuil,Claude Monet,,Oil on canvas , 79.8 x 59.8cm , 1875
ILLU_10398_349_0,Scène des massacres de Scio&nbsp;; familles grecques attendant,Eugène Delacroix,https://donate.louvre.fr/particuliers/~mon-don,Huile sur toile , 4.19 x 3.54m , Salon de 1824
ILLU_10446_106_0,"Anthony: Help me, O my God! (plate 2)",Odilon Redon,,Lithography on paper ,, 1896
ILLU_10453_96_0,Young Girl Learning to Write,Jean-Baptiste Camille Corot,,Oil on panel , 42.1 x 37.6cm,
ILLU_10456_80_0,Young Ladies of the Village,Gustave Courbet,https://www.metmuseum.org/art/collection/search/438820,Oil on canvas , 194.9 x 261cm , 1851-52
ILLU_10466_523_0,Houses Along a Road,Paul Cézanne,,Oil on canvas ,, 1881
ILLU_10479_246_0,Luncheon in the Studio,Édouard Manet,https://en.wikipedia.org/wiki/Luncheon_in_the_Studio,Oil on canvas , 118 x 153.9cm , 1868
ILLU_10649_239_0,Vétheuil,Claude Monet,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_V%C3%A9theuil_-_Google_Art_Project_(427751).jpg,Oil on canvas , 600 x 810mm , 1879
ILLU_10654_148_0,The Spanish Singer,Edouard Manet,https://www.metmuseum.org/art/collection/search/436944,Oil on canvas , 147.3 x 114.3cm , 1860
ILLU_10654_150_1,Spanish Ballet,Édouard Manet,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Spanish_Ballet_-_Google_Art_Project.jpg,Oil on canvas , 24 x 35.6mm , 1862
ILLU_10663_95_0,The Card Players (Les Joueurs de cartes),Paul Cézanne,https://commons.wikimedia.org/wiki/File:Paul_Cezanne_Les_joueurs_de_cartes.jpg,,134 x 181.5cm , 1890-1892
ILLU_10664_349_0,Vase with Musk-mallows,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Vase_mit_Rosenmalven.jpeg,Oil on canvas , 91 x 50.5cm , 1886
ILLU_10670_171_0,The Garden at Bellevue,Édouard Manet,,Oil on canvas , 65 x 54cm , 1880
ILLU_10670_192_0,Still Life with Fruit Dish,Paul Cézanne,,Oil on canvas , 46.4 x 54.6cm , 1879-80
ILLU_10670_195_0,"Baigneuses, plage du Pouldu",Maurice Denis,https://parismuseescollections.paris.fr/node/226230,"Peinture à l'huile, Toile (matériau) ", 73 x 100cm , En 1899
ILLU_10672_68_0,The Thames below Westminster,Claude Monet,https://www.nationalgallery.org.uk/paintings/claude-monet-the-thames-below-westminster,Oil on canvas , 47 x 73cm , c. 1871
ILLU_10677_61_0,La Chanteuse de rue,Édouard Manet,https://fr.wikipedia.org/wiki/La_Chanteuse_de_rue,Huile sur toile , 174 x 118cm , 1862
ILLU_10706_454_0,Erminia and the Shepherds,Eugène Delacroix,https://commons.wikimedia.org/wiki/File:Erminia_and_the_Shepherds_(Eug%C3%A8ne_Delacroix)_-_Nationalmuseum_-_19306.tif,Oil on canvas , 82 x 104.5cm , 1859
ILLU_10720_489_0,Harry Graf Kessler,Edvard Munch,,Oil on canvas , 86 x 75cm , 1904
ILLU_10728_193_0,Les mères diaboliques,Giovanni Segantini,https://sammlung.belvedere.at/objects/6224/die-bosen-mutter,Huile sur toile , 105 x 200cm , 1894
