journal_id;level;keyword;;;;
;1.3.4.2.2.34 ;Köln : Sonderbund Ausstellung- 1912;;;;
;1.3.4.2.2.35 ;Köln : Werkbund Ausstellung. 1914;;;;
;1.3.4.2.2.36 ;Köln : Feire- 1924;;;;
;1.3.4.2.2.37 ;Köln : Exposition internationale dc decoration- 1932;;;;
;1.3.4.2.2.38 ;Leipzig : Kunstverein : Exposition Klinger- 1907;;;;
;1.3.4.2.2.39 ;Mühdorf am Inn : Exposition «an mute 1912;;;;
;1.3.4.2.2.40 ;Mannheim Ausstellung;;;;
;1.3.4.2.2.41 ;München' Internationale Kunstausstellung;;;;
;1.3.4.2.2.41.1 ;München : Internationale Kunstausstellung- 1863;;;;
;1.3.4.2.2.41.2 ;München : Internationale Kunstausstellung- 1869;;;;
;1.3.4.2 2.41 3 ;München : Internationale Kunstausstellung. 1879;;;;
;1.3.4.2.2.41.4 ;München : Internationale Kunstausstellung- 1883;;;;
;1.3.4.2.2 41.5 ;München : Internationale Kunstausstellung- 1893;;;;
;1.3.4.2.2.42 ;München : Exposition des beaux-ans (Glast Palast);;;;
;1.3.4.2.2.42.1 ;Exposition des beaux-ans et dc !Industrie. 1877;;;;
;1.3.4.2.2.43 ;München : Lenbach Ausstellung- 1905;;;;
;1.3.4.2.2.44 ;München : Gewerbeschau- 1912;;;;
;1.3.4.2.2.45 ;München Ausstellung der angewandten Künsten- 1922;;;;
;1.3.4.2.2.46 ;München : Künstlerhaus;;;;
;1.3.4.2.2.47 ;München : Kunstverein;;;;
;1.3.4.2.2.47.1 ;Exposition Anna May- 1908;;;;
;1.3.4.2.2.47.2 ;Exposition d'art messe. 1909;;;;
;1.3.4.2.2.48 ;München : Sezession Ausstellung (ab 1893);;;;
;1.3.4.2.2.48.1 ;Exposition Hans von Maries. 1909;;;;
;1.3.4.2.2.48.2; Exposition centennalc du dessin- 1914;;;;
;1.3.4.2.2.49 ;München : Neue Sezession Ausstellung;;;;
;1.3.4.2.2.50 ;Oldenburg : Kunstausstellung- 1905;;;;
;1.3.4.2.2.51 ;Schleisshcim : Exposition Maries- 1909;;;;
;1.3.4.2.2.52 ;Stuttgart : Werkbundausstellung- 1927;;;;
;1.3.4.2.2.53 ;Stuttgart : Exposition- 1927;;;;
;1.3.4.2.2.54 ;Stuttgart : Exposition Gustave Schoenleber- 1912;;;;
;1.3.4.2.2.55 ;Stuttgart : Deutscher Künslterbund Ausstellung;;;;
;1.3.4.2.2.56 ;Wiesbaden : Societe des Beaux-Ans Exposition d'an suissc- 1913;;;;
;1.3.4.2.2.57 ;Wiesbaden : exposition d'an francais. 1921;;;;
;1.3.4.2.2.58 ;Wiesbaden : exposition du cercic dc Leibl- 1911-1912;;;;
;1.3.4.2.3 ;In Osterreich;;;;
;1.3.4.2.3.1 ;Wien : Internationale Kunstausstellungen;;;;
;1.3.4.2.3.2 ;Wien : Internationale Kunstausstellung- 1873;;;;
;1.3.4.2.3.3 ;Wien : Internationale Kunstausstellung. 1882;;;;
;1.3.4.2.3.4 ;Wien : Druckausstellung. 1883;;;;
;1.3.4.2.3.5 ;Wien : Künstlerhaus;;;;
;1.3.4.2.3.6 ;Wien : Exposition Alenze'. 1896;;;;
;1.3.4.2.3.7 ;Wien Sczession (ab 1898);;;;
;1.3.4.2.3.8 ;Wien: Exposition d'Art francais contemporain- 1925;;;;
;1.3.4.2.3.9 ;Wien : Ausstellung. 1930;;;;
;1.3.4.2.4 ;In Belgien;;;;
;1.3.4.2.4.1 ;Bamelies • Salon;;;;
;1.3.4.24.1.1 ;Brutielles : Exposition internationale L'Art Vivant- 1931;;;;
;1.3.4.2.5 I;n England;;;;
;1.3.4.2.5.1 ;London • Internationale Ausstellung. 1871;;;;
;1.3.4.2.6 ;In Italien;;;;
;1.3.4.2.6.1 ;Rome : Salon des independants;;;;
;1.3.4.2.6.2 ;Turin : Exposition d'art decoratif. 1902;;;;
;1.3.4.2.6.3 ;Venedig : Biennale;;;;
;1.3.4.2.6.4 ;Venedig : Internationale Kunstausstellung;;;;
;1.3.4.2.7 ;In der Schweiz;;;;
;1.3.4.2.7.1 ;Basel : Exposition 60eklin;;;;
;1.3.4.2.7.2 ;Genf : Exposition internationale- 1921;;;;
;1.3.4.2.7.3 ;Zürich : Exposition Modle'- 1917;;;;
;1.3.4.2.7.4 ;Zürich : Exposition internationale- 1925;;;;
;1.34.2.7.5 ;Zürich : Salon Wolfensberg. 1925;;;;
;1.3.4.2.8 ;In Lateinamerika;;;;
;1.3.4.2.8.1 ;Buesnos-Aires : Exposition d'art allenland. 1921;;;;
9375;1 3.4.3 ;Galerien;;;;
9376;1.3.4.3.1 ;Französische Galerien;;;;
;1.3.4.3.1.1 ;Galerie 23;;;;
;1.34.3.1.1.1 ;1931- Kurt I iinr ichsen Ausstellung;;;;
;1.3.4.3.1.2 ;Galerie d'art contemporain;;;;
;1.3.4.3.1.2.1 ;1927- W. Baumeister;;;;
;1.3.4.3.1.3 ;Galerie d'art surrealistc;;;;
;1.3.4.3.1.3.1 ;1927- Exposition surrealiste;;;;
;1.3.4.3.1.4 ;Galerie Bernheim Jeune;;;;
;1.3.4.3.1.4.1 ;1903- Exposition Borchardt;;;;
;1.3.4.3.1.5 ;Galerie Billie';;;;
;1.3.4.3.1.5.1 ;1924- Exposition George Grosz;;;;
;1.3.4.3.1.5.2 ;1926. Quatrc expressionnistes allemands;;;;
;1.3.4.3.1.6 ;Galerie Ring;;;;
;1.3.4.3.1.6.1 ;1895- Exposition I: An nouveau;;;;
;1.3.4.3.1.6.2 ;1896- Exposition L'Art nouveau;;;;
;1.3.4.3.14.3 ;1902- Exposition Borchardt;;;;
;1.3.4.3.1.6.4 ;1925- Exposition Adolf Dietrich;;;;
;1.3.4.3.1.6.5 ;1926- Exposition Helmuth Kolle;;;;
;1.3.4.3.1.7 ;Galerie Bonjcan & Dior;;;;
;1.3.4.3.1.7.1 ;1931- Exposition Carnpendonck- Dix- Ernst- Klee- Kokoschka- Urach- Schrecker;;;;
;1.3.4.3.1.8 ;Galerie des Cahiers d'art;;;;
;1.3.4.3.1.8.1 ;1934- Max Ernst;;;;
;1.3.4.3.1.8.2 ;1934- Wassily Kandinsky;;;;
;1.3.4.3.1.8.3 ;1934- Photographics et maquettes d'architectes contemporains ;;;;
;1.3.4.3.1.9 ;Galerie Charles Hessele;;;;
;1.3.4.3.1.9.1 ;1902- Exposition dc peintres-graveurs allemands;;;;
;1.3.4.3.1.9.2 ;1902- Exposition d'eaux-foncs originales;;;;
;1.3.4.3.1.9.3 ;1907. Exposition de peintres-graveurs allemands;;;;
;1.3.4.3.1.10 ;Galerie Charpentier;;;;
;1.3.4.3.1.10.1 ;1927. Exposition Ernst Oppler ;;;;
;1.3.4.3.1.11 ;Galerie Devambez;;;;
;1.3.4.3.1.11.1 ;1908- Exposition Felix Borchardt;;;;
;1.3.4.3.1.11.2 ;1909- Exposition dc quelques artistes allemands;;;;
;1.3.4.3.1.11.3 ;1909- Exposition dc pcintres de nus;;;;
;1.3.4.3.1.11.4 ;1909. Exposition dc la Societe des peintres-graveurs francais;;;;
;1.3.4.3.1 11.5 ;1911- Exposition de la Sod& des peintres-graveurs francais;;;;
;1.3.4.3.1.11.6 ;1911- Exposition d'art applique et d'an precieux;;;;
;13.4.3.1.11.7 ;1912. Exposition de la Societe des peintres-graveurs francais;;;;
;1.3.4.3.1.11.8 ;1913- Exposition dc la Societe des peintres-graveurs francais;;;;
;1.3.4.3.1.11.9 ;1923- Exposition de pcintrcs de nus;;;;
;1.3.4.3.1.12 ;Galerie Durand-Rucl;;;;
;1.3.4.3.1.12.1 ;Louise Breslau- Panels cl dessus de pont. ler-15 mars 1910 ;;;;
;1.3.4.3.1.12.2 ;Dietz Edzard- 1928;;;;
;1.3.4.3.1.13 ;Galerie Druet;;;;
;1.3.4.3.1.13.1 ;1927- Exposition Wilhelm Gimmi;;;;
;1.3.4.3.1.13.2 ;1927- Exposition collectivc ;;;;
;1.3.4.3.1.14 ;Galerie Eugene Blot;;;;
;1.3.4.3.1.14.1 1;905- Exposition Beinhard Hoetgcr;;;;
;1.3.4.3.1.15 ;Galerie Flechtheim;;;;
;1.3.4.3.1.15.1 ;1929- exposition Willy Baumeister;;;;
;1.3.4.3.1.16 ;Galerie de France;;;;
