ID,Volume_ID,_journal-id,liens iiif,liens de citation (page),liens de citation (volume),bibliographie
10193,2218,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0124.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0124,,"11.1900.15, Sp. 232"
10194,2219,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0150.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0150,,"11.1900.18, Sp. 283"
10200,2220,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0151.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0151,,"11.1900.18, Sp. 286"
10203,2220,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0151.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0151,,"11.1900.18, Sp. 286"
10833,2221,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0158.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0158,,"11.1900.19, Sp. 299-300"
10204,2222,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0167.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0167,,"11.1900.20, Sp. 317-318"
10187,2223,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0171.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0171,,"11.1900.21, Sp. 325"
10195,2224,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0171.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0171,,"11.1900.21, Sp. 326-327"
10196,2225,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0172.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0172,,"11.1900.21, Sp. 327"
10180,2226,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0195.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0195,,"11.1900.24, Sp. 374-375"
10181,2227,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0220.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0220,,"11.1900.27, Sp. 424-425"
10179,2228,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0225.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0225,,"11.1900.28, Sp. 433-438"
10182,2229,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0227.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0227,,"11.1900.28, Sp. 438"
10197,2230,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0229.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0229,,"11.1900.28, Sp. 441"
10201,2231,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0230.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0230,,"11.1900.28, Sp. 444-445"
10206,2232,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0246.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0246,,"11.1900.30, Sp 476"
10205,2233,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0246.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0246,,"11.1900.30, Sp. 475"
10202,2234,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0247.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0247,,"11.1900.30, Sp. 477"
